摄像头编号  摄像日期    摄像时间    笼号  变化点数    帧数  视频时间长度
ch01 20180114 152434 2-2 13427 33890 1412.083333
ch01 20180114 180919 1-1 88409 33890 1412.083333
ch01 20180114 180919 1-2 69939 33890 1412.083333
ch01 20180114 180919 2-1 90013 33890 1412.083333
ch01 20180114 180919 2-2 67776 33890 1412.083333
ch01 20180114 183250 1-1 105840 33890 1412.083333
ch01 20180114 183250 1-2 89044 33890 1412.083333
ch01 20180114 183250 2-1 53438 33890 1412.083333
ch01 20180114 183250 2-2 69943 33890 1412.083333
ch01 20180114 185623 1-1 136982 33890 1412.083333
ch01 20180114 185623 1-2 102011 33890 1412.083333
ch01 20180114 185623 2-1 82335 33890 1412.083333
ch01 20180114 185623 2-2 80447 33890 1412.083333
ch01 20180114 191954 1-1 114960 33890 1412.083333
ch01 20180114 191954 1-2 89223 33890 1412.083333
ch01 20180114 191954 2-1 110957 33890 1412.083333
ch01 20180114 191954 2-2 94422 33890 1412.083333
ch01 20180114 194327 1-1 121299 33890 1412.083333
ch01 20180114 194327 1-2 100023 33890 1412.083333
ch01 20180114 194327 2-1 87716 33890 1412.083333
ch01 20180114 194327 2-2 82150 33890 1412.083333
ch01 20180114 200659 1-1 101425 33890 1412.083333
ch01 20180114 200659 1-2 98617 33890 1412.083333
ch01 20180114 200659 2-1 50076 33890 1412.083333
ch01 20180114 200659 2-2 66995 33890 1412.083333
ch01 20180114 203030 1-1 155831 33890 1412.083333
ch01 20180114 203030 1-2 123639 33890 1412.083333
ch01 20180114 203030 2-1 145673 33890 1412.083333
ch01 20180114 203030 2-2 126283 33890 1412.083333
ch01 20180114 205403 1-1 153812 33890 1412.083333
ch01 20180114 205403 1-2 118792 33890 1412.083333
ch01 20180114 205403 2-1 201244 33890 1412.083333
ch01 20180114 205403 2-2 137383 33890 1412.083333
ch01 20180114 211734 1-1 145982 33890 1412.083333
ch01 20180114 211734 1-2 121037 33890 1412.083333
ch01 20180114 211734 2-1 158303 33890 1412.083333
ch01 20180114 211734 2-2 131357 33890 1412.083333
ch01 20180114 214107 1-1 136257 33890 1412.083333
ch01 20180114 214107 1-2 115498 33890 1412.083333
ch01 20180114 214107 2-1 172130 33890 1412.083333
ch01 20180114 214107 2-2 133782 33890 1412.083333
ch01 20180114 220438 1-1 156624 33890 1412.083333
ch01 20180114 220438 1-2 116141 33890 1412.083333
ch01 20180114 220438 2-1 160620 33890 1412.083333
ch01 20180114 220438 2-2 140410 33890 1412.083333
ch01 20180114 222810 1-1 148835 33890 1412.083333
ch01 20180114 222810 1-2 132334 33890 1412.083333
ch01 20180114 222810 2-1 151705 33890 1412.083333
ch01 20180114 222810 2-2 136577 33890 1412.083333
ch01 20180114 225143 1-1 152571 33890 1412.083333
ch01 20180114 225143 1-2 106185 33890 1412.083333
ch01 20180114 225143 2-1 161331 33890 1412.083333
ch01 20180114 225143 2-2 114904 33890 1412.083333
ch01 20180114 231514 1-1 177479 33890 1412.083333
ch01 20180114 231514 1-2 113110 33890 1412.083333
ch01 20180114 231514 2-1 161139 33890 1412.083333
ch01 20180114 231514 2-2 102281 33890 1412.083333
ch01 20180114 233847 1-1 171224 33890 1412.083333
ch01 20180114 233847 1-2 105757 33890 1412.083333
ch01 20180114 233847 2-1 165677 33890 1412.083333
ch01 20180114 233847 2-2 108938 33890 1412.083333
ch01 20180115 000218 1-1 198038 33890 1412.41ch01 20180115 000218 1-2 135508 33890 1412.41
ch01 20180115 000218 2-1 239273 33890 1412.41
ch01 20180115 000218 2-2 155129 33890 1412.41
ch01 20180115 002551 1-1 209268 33890 1412.08ch01 20180115 002551 1-2 145912 33890 1412.08ch01 20180115 002551 2-1 250985 33890 1412.08ch01 20180115 002551 2-2 142233 33890 1412.083333
ch01 20180115 004922 1-1 217052 33890 1412.083333
ch01 20180115 004922 1-2 149281 33890 1412.083333
ch01 20180115 004922 2-1 180587 33890 1412.083333
ch01 20180115 004922 2-2 150750 33890 1412.083333
ch01 20180115 011255 1-1 216059 33890 1412.083333
ch01 20180115 011255 1-2 133048 33890 1412.083333
ch01 20180115 011255 2-1 162310 33890 1412.083333
ch01 20180115 011255 2-2 135969 33890 1412.083333
ch01 20180115 013627 1-1 229246 33890 1412.083333
ch01 20180115 013627 1-2 186188 33890 1412.083333
ch01 20180115 013627 2-1 123454 33890 1412.083333
ch01 20180115 013627 2-2 179694 33890 1412.083333
ch01 20180115 015959 1-1 124717 33890 1412.083333
ch01 20180115 015959 1-2 182961 33890 1412.083333
ch01 20180115 015959 2-1 134517 33890 1412.083333
ch01 20180115 015959 2-2 164618 33890 1412.083333
ch01 20180115 022331 1-1 124088 33890 1412.083333
ch01 20180115 022331 1-2 145215 33890 1412.083333
ch01 20180115 022331 2-1 186630 33890 1412.083333
ch01 20180115 022331 2-2 142928 33890 1412.083333
ch01 20180115 024702 1-1 207055 33890 1412.083333
ch01 20180115 024702 1-2 127390 33890 1412.083333
ch01 20180115 024702 2-1 206212 33890 1412.083333
ch01 20180115 024702 2-2 111267 33890 1412.083333
ch01 20180115 031035 1-1 245187 33890 1412.083333
ch01 20180115 031035 1-2 159048 33890 1412.083333
ch01 20180115 031035 2-1 288052 33890 1412.083333
ch01 20180115 031035 2-2 188929 33890 1412.083333
ch01 20180115 033407 1-2 151628 33890 1412.083333
ch01 20180115 033407 1-1 240132 33890 1412.083333
ch01 20180115 033407 2-1 228490 33890 1412.083333
ch01 20180115 033407 2-2 160766 33890 1412.083333
ch01 20180115 035739 1-1 205958 33890 1412.083333
ch01 20180115 035739 1-2 148723 33890 1412.083333
ch01 20180115 035739 2-1 254338 33890 1412.083333
ch01 20180115 035739 2-2 156370 33890 1412.083333
ch01 20180115 042111 1-1 227435 33890 1412.083333
ch01 20180115 042111 1-2 160465 33890 1412.083333
ch01 20180115 042111 2-1 254949 33890 1412.083333
ch01 20180115 042111 2-2 156300 33890 1412.083333
ch01 20180115 044443 1-1 222260 33890 1412.083333
ch01 20180115 044443 1-2 152948 33890 1412.083333
ch01 20180115 044443 2-1 231027 33890 1412.083333
ch01 20180115 044443 2-2 152782 33890 1412.083333
ch01 20180115 050815 1-1 213692 33890 1412.083333
ch01 20180115 050815 1-2 142890 33890 1412.666667
ch01 20180115 050815 2-1 229607 33890 1412.666667
ch01 20180115 050815 2-2 141350 33890 1412.666667
ch01 20180115 053147 1-1 211764 33890 1412.666667
ch01 20180115 053147 1-2 143004 33890 1412.666667
ch01 20180115 053147 2-1 239556 33890 1412.666667
ch01 20180115 053147 2-2 146420 33890 1412.666667
ch01 20180115 055519 1-1 949964 33891 1412.666667
ch01 20180115 055519 1-2 137068 33891 1412.666667
ch01 20180115 055519 2-1 247386 33891 1412.666667
ch01 20180115 055519 2-2 143986 33891 1412.666667
ch01 20180115 061851 1-1 598.2083 100 203411ch01 20180115 061851 1-2 598.2083 100 94195ch01 20180115 061851 2-1 598.2083 100 164132ch01 20180115 061851 2-2 598.2083 100 116187ch01 20180115 092707 1-1 145566 32007 1334.125000
ch01 20180115 092707 1-2 108776 32007 1333.625000
ch01 20180115 092707 2-1 144831 32007 1333.625000
ch01 20180115 092707 2-2 96424 32007 1333.625000
ch01 20180115 095039 1-1 79538 14412 600.500000
ch01 20180115 095039 1-2 61751 14412 600.500000
ch01 20180115 095039 2-1 83438 14412 600.500000
ch01 20180115 095039 2-2 502554 14412 600.500000
ch01 20180115 101411 1-1 92193 33890 1412.083333
ch01 20180115 101411 1-2 93983 33890 1412.083333
ch01 20180115 101411 2-1 134397 33890 1412.083333
ch01 20180115 101411 2-2 128918 33890 1412.083333
ch01 20180115 103743 1-1 83179 33890 1412.083333
ch01 20180115 103743 1-2 59473 33890 1412.083333
ch01 20180115 103743 2-1 110065 33890 1412.083333
ch01 20180115 103743 2-2 65814 33890 1412.083333
ch01 20180115 110115 1-1 113631 33890 1412.083333
ch01 20180115 110115 1-2 106436 33890 1412.083333
ch01 20180115 110115 2-1 180909 33890 1412.083333
ch01 20180115 110115 2-2 88370 33890 1412.083333
ch01 20180115 112447 1-1 71009 33890 1412.083333
ch01 20180115 112447 1-2 58692 33890 1412.083333
ch01 20180115 112447 2-1 86953 33890 1412.083333
ch01 20180115 112447 2-2 46585 33890 1412.083333
ch01 20180115 114819 1-1 76317 33890 1412.083333
ch01 20180115 114819 1-2 76260 33890 1412.083333
ch01 20180115 114819 2-1 89128 33890 1412.083333
ch01 20180115 114819 2-2 80260 33890 1412.083333
ch01 20180115 121152 1-1 89275 33890 1412.083333
ch01 20180115 121152 1-2 76159 33890 1412.083333
ch01 20180115 121152 2-1 92759 33890 1412.083333
ch01 20180115 121152 2-2 62195 33890 1412.083333
ch01 20180115 134559 1-1 130191 33890 1412.083333
ch01 20180115 134559 1-2 135907 33890 1412.083333
ch01 20180115 134559 2-1 142763 33890 1412.083333
ch01 20180115 134559 2-2 92430 33890 1412.083333
ch01 20180115 140932 1-1 87819 19579 815.791667
ch01 20180115 140932 1-2 86513 19579 815.791667
ch01 20180115 140932 2-1 101767 19579 815.791667
ch01 20180115 140932 2-2 81631 19579 815.791667
ch01 20180115 143304 1-1 35921 8355 348.125000
ch01 20180115 143304 1-2 44963 8355 348.125000
ch01 20180115 143304 2-1 59280 8355 348.125000
ch01 20180115 143304 2-2 53993 8355 348.125000
ch01 20180115 145635 1-1 120418 33890 1412.083333
ch01 20180115 145635 1-2 114993 33890 1412.083333
ch01 20180115 145635 2-1 139295 33890 1412.083333
ch01 20180115 145635 2-2 111664 33890 1412.083333
ch01 20180115 152007 1-1 134436 33890 1412.083333
ch01 20180115 152007 1-2 101732 33890 1412.083333
ch01 20180115 152007 2-1 107615 33890 1412.083333
ch01 20180115 152007 2-2 101865 33890 1412.083333
ch01 20180115 160712 1-1 78620 33890 1412.083333
ch01 20180115 160712 1-2 91912 33890 1412.083333
ch01 20180115 160712 2-1 68579 33890 1412.083333
ch01 20180115 160712 2-2 109050 33890 1412.083333
ch01 20180115 163044 1-1 106791 33890 1412.083333
ch01 20180115 163044 1-2 97324 33890 1412.083333
ch01 20180115 163044 2-1 116180 33890 1412.083333
ch01 20180115 163044 2-2 108208 33890 1412.083333
ch01 20180115 165415 1-1 101434 33890 1412.083333
ch01 20180115 165415 1-2 92142 33890 1412.083333
ch01 20180115 165415 2-1 100793 33890 1412.083333
ch01 20180115 165415 2-2 112626 33890 1412.083333
ch01 20180115 171747 1-1 95309 33890 1412.083333
ch01 20180115 171747 1-2 99130 33890 1412.083333
ch01 20180115 171747 2-1 116439 33890 1412.083333
ch01 20180115 171747 2-2 110112 33890 1412.083333
ch01 20180115 174120 1-2 130038 33395 1391.458333
ch01 20180115 174120 2-2 105814 33395 1391.458333
ch01 20180115 180452 1-1 16 832 34.666667
ch01 20180115 180452 1-2 0 832 34.666667
ch01 20180115 180452 2-1 1 832 34.666667
ch01 20180115 180452 2-2 0 832 34.666667
ch01 20180115 185154 1-1 199613 33891 1412.125000
ch01 20180115 185154 1-2 101336 33891 1412.125000
ch01 20180115 185154 2-1 119229 33891 1412.125000
ch01 20180115 185154 2-2 111150 33891 1412.125000
ch01 20180115 191526 1-2 233017 33886 1411.916667
ch01 20180115 191526 2-1 912 33886 1411.916667
ch01 20180115 191526 2-2 68723 33886 1411.916667
ch01 20180115 193857 2-2 134030 33890 1412.083333
ch01 20180115 204933 1-1 121703 33890 1412.083333
ch01 20180115 204933 1-2 108359 33890 1412.083333
ch01 20180115 204933 2-1 155413 33890 1412.083333
ch01 20180115 211305 1-1 169323 33890 1412.083333
ch01 20180115 211305 1-2 118036 33890 1412.083333
ch01 20180115 211305 2-1 134551 33890 1412.083333
ch01 20180115 213637 1-1 92309 33890 1412.083333
ch01 20180115 213637 1-2 94485 33890 1412.083333
ch01 20180115 213637 2-1 83323 33890 1412.083333
ch01 20180115 220010 1-1 97328 33890 1412.083333
ch01 20180115 220010 1-2 70863 33890 1412.083333
ch01 20180115 220010 2-1 93732 33890 1412.083333
ch01 20180115 222342 1-1 81229 33890 1412.083333
ch01 20180115 222342 1-2 75743 33890 1412.083333
ch01 20180115 222342 2-1 92060 33890 1412.083333
ch01 20180115 224714 1-1 87777 33890 1412.083333
ch01 20180115 224714 1-2 75295 33890 1412.083333
ch01 20180115 224714 2-1 96931 33890 1412.083333
ch01 20180115 231045 1-1 76004 33890 1412.083333
ch01 20180115 231045 1-2 69210 33890 1412.083333
ch01 20180115 231045 2-1 94869 33890 1412.083333
ch01 20180115 233417 1-1 77965 33890 1412.083333
ch01 20180115 233417 1-2 69190 33890 1412.083333
ch01 20180115 233417 2-1 87543 33890 1412.083333
ch01 20180115 235749 1-1 78383 33890 1412.083333
ch01 20180115 235749 1-2 79808 33890 1412.083333
ch01 20180115 235749 2-1 108363 33890 1412.083333
ch01 20180116 000000 1-1 132868 30770 1282.833333
ch01 20180116 000000 1-2 176128 30770 1282.083333
ch01 20180116 000000 2-1 211216 30770 1282.083333
ch01 20180116 002121 1-1 138719 33890 1412.083333
ch01 20180116 002121 1-2 212573 33890 1412.083333
ch01 20180116 002121 2-1 215306 33890 1412.083333
ch01 20180116 004454 1-1 220820 33890 1412.083333
ch01 20180116 004454 1-2 172669 33890 1412.083333
ch01 20180116 004454 2-1 210989 33890 1412.083333
ch01 20180116 010825 1-1 250595 33890 1412.083333
ch01 20180116 010825 1-2 185017 33890 1412.083333
ch01 20180116 010825 2-1 224987 33890 1412.083333
ch01 20180116 013158 1-1 245340 33890 1412.083333
ch01 20180116 013158 1-2 185400 33890 1412.083333
ch01 20180116 013158 2-1 209659 33890 1412.083333
ch01 20180116 015530 1-1 254303 33890 1412.083333
ch01 20180116 015530 1-2 177047 33890 1412.083333
ch01 20180116 015530 2-1 213225 33890 1412.083333
ch01 20180116 021902 1-1 268238 33890 1412.083333
ch01 20180116 021902 1-2 196694 33890 1412.083333
ch01 20180116 021902 2-1 215313 33890 1412.083333
ch01 20180116 024234 1-1 211275 33890 1412.083333
ch01 20180116 024234 1-2 192426 33890 1412.083333
ch01 20180116 024234 2-1 172613 33890 1412.083333
ch01 20180116 030606 1-1 218782 33890 1412.083333
ch01 20180116 030606 1-2 192545 33890 1412.083333
ch01 20180116 030606 2-1 205205 33890 1412.083333
ch01 20180116 032938 1-1 217913 33890 1412.083333
ch01 20180116 032938 1-2 187951 33890 1412.083333
ch01 20180116 032938 2-1 233172 33890 1412.083333
ch01 20180116 035309 1-1 199535 33890 1412.083333
ch01 20180116 035309 1-2 202531 33890 1412.083333
ch01 20180116 035309 2-1 214331 33890 1412.083333
ch01 20180116 041642 1-1 211517 33890 1412.083333
ch01 20180116 041642 1-2 165787 33890 1412.083333
ch01 20180116 041642 2-1 222246 33890 1412.083333
ch01 20180116 044013 1-1 604 898 37.416667
ch01 20180116 044013 1-2 22 898 37.416667
ch01 20180116 044013 2-1 27 898 37.416667
ch01 20180116 050346 1-1 218838 33890 1412.083333
ch01 20180116 050346 1-2 175575 33890 1412.083333
ch01 20180116 050346 2-1 182260 33890 1412.083333
ch01 20180116 052718 1-1 215682 33890 1412.083333
ch01 20180116 052718 1-2 189327 33890 1412.083333
ch01 20180116 052718 2-1 175406 33890 1412.083333
ch01 20180116 055049 1-1 198209 33890 1412.083333
ch01 20180116 055049 1-2 168467 33890 1412.083333
ch01 20180116 055049 2-1 180917 33890 1412.083333
ch01 20180116 061422 1-1 310 713 29.708333
ch01 20180116 061422 1-2 181 713 29.708333
ch01 20180116 061422 2-1 60 713 29.708333
ch01 20180116 063754 1-1 251 720 30.000000
ch01 20180116 063754 1-2 16 720 30.000000
ch01 20180116 063754 2-1 22 720 30.000000
ch01 20180116 070126 1-1 207654 33890 1412.083333
ch01 20180116 070126 1-2 162368 33890 1412.083333
ch01 20180116 070126 2-1 203865 33890 1412.083333
ch01 20180116 072458 1-1 220137 33890 1412.083333
ch01 20180116 072458 1-2 139363 33890 1412.083333
ch01 20180116 072458 2-1 193818 33890 1412.083333
ch01 20180116 074830 1-1 168904 33890 1413.041667
ch01 20180116 074830 1-2 140550 33890 1413.041667
ch01 20180116 074830 2-1 161428 33890 1413.041667
ch01 20180116 081202 1-1 195584 33890 1413.041667
ch01 20180116 081202 1-2 140800 33890 1413.041667
ch01 20180116 081202 2-1 136075 33890 1413.041667
ch01 20180116 083534 1-1 161507 33890 1413.000000
ch01 20180116 083534 1-2 160639 33890 1413.000000
ch01 20180116 083534 2-1 163204 33890 1413.000000
ch01 20180116 085906 1-1 145807 33891 1413.041667
ch01 20180116 085906 1-2 144146 33891 1413.041667
ch01 20180116 085906 2-1 155780 33891 1413.041667
ch01 20180116 092238 1-1 157560 33890 1413.041667
ch01 20180116 092238 1-2 158163 33890 1413.041667
ch01 20180116 092238 2-1 147988 33890 1413.041667
ch01 20180116 094610 1-1 114430 33890 1413.041667
ch01 20180116 094610 1-2 73104 33890 1413.041667
ch01 20180116 094610 2-1 138016 33890 1413.041667
ch01 20180116 100942 1-1 338633 33890 1413.041667
ch01 20180116 100942 1-2 212608 33890 1413.041667
ch01 20180116 100942 2-1 251148 33890 1413.041667
ch01 20180116 103314 1-1 180228 33890 1413.041667
ch01 20180116 103314 1-2 159549 33890 1413.041667
ch01 20180116 103314 2-1 180943 33890 1413.041667
ch01 20180116 103314 1-1 144684 33890 1412.083333
ch01 20180116 103314 1-2 164532 33890 1412.083333
ch01 20180116 103314 2-1 162613 33890 1412.083333
ch01 20180116 105646 1-1 96004 33890 1413.000000
ch01 20180116 105646 1-2 92756 33890 1413.000000
ch01 20180116 105646 2-1 116112 33890 1413.000000
ch01 20180116 112018 1-1 151869 33890 1413.000000
ch01 20180116 112018 1-2 141299 33890 1413.000000
ch01 20180116 112018 2-1 156927 33890 1413.000000
ch01 20180116 114350 1-1 128800 33890 1413.041667
ch01 20180116 114350 1-2 119137 33890 1413.041667
ch01 20180116 114350 2-1 129869 33890 1413.041667
ch01 20180116 120722 1-1 131754 33890 1413.000000
ch01 20180116 120722 1-2 141107 33890 1413.000000
ch01 20180116 120722 2-1 107831 33890 1413.000000
ch01 20180116 123054 1-1 90671 33891 1413.041667
ch01 20180116 123054 1-2 65216 33891 1413.041667
ch01 20180116 123054 2-1 110132 33891 1413.041667
ch01 20180116 125426 1-1 69702 33890 1413.041667
ch01 20180116 125426 1-2 95062 33890 1413.041667
ch01 20180116 125426 2-1 88102 33890 1413.041667
ch01 20180116 131758 1-1 114746 33890 1413.041667
ch01 20180116 131758 1-2 91604 33890 1413.041667
ch01 20180116 131758 2-1 117520 33890 1413.041667
ch01 20180116 134130 1-1 153988 33890 1413.041667
ch01 20180116 134130 1-2 131749 33890 1413.041667
ch01 20180116 134130 2-1 156820 33890 1413.041667
ch01 20180116 140502 1-1 131942 33890 1413.000000
ch01 20180116 140502 1-2 104281 33890 1413.000000
ch01 20180116 140502 2-1 143541 33890 1413.000000
ch01 20180116 142835 1-1 136827 33891 1413.041667
ch01 20180116 142835 1-2 96559 33891 1413.041667
ch01 20180116 142835 2-1 130100 33891 1413.041667
ch01 20180116 145207 1-1 93601 33890 1413.041667
ch01 20180116 145207 1-2 58776 33890 1413.041667
ch01 20180116 145207 2-1 88398 33890 1413.041667
ch01 20180116 151539 1-1 120044 33890 1413.041667
ch01 20180116 151539 1-2 54207 33890 1413.041667
ch01 20180116 151539 2-1 158277 33890 1413.041667
ch01 20180116 153910 1-1 133890 33890 1412.083333
ch01 20180116 153910 1-2 108325 33890 1412.083333
ch01 20180116 153910 2-1 143901 33890 1412.083333
ch01 20180116 153910 2-2 107889 33890 1412.083333
ch01 20180116 160242 1-1 191969 33890 1412.083333
ch01 20180116 160242 1-2 148739 33890 1412.083333
ch01 20180116 160242 2-1 179634 33890 1412.083333
ch01 20180116 160242 2-2 179026 33890 1412.083333
ch01 20180116 162614 1-1 123335 33890 1412.083333
ch01 20180116 162614 1-2 100818 33890 1412.083333
ch01 20180116 162614 2-1 151970 33890 1412.083333
ch01 20180116 164947 1-1 243632 33890 1412.083333
ch01 20180116 164947 1-2 111533 33890 1412.083333
ch01 20180116 164947 2-1 221819 33890 1412.083333
ch01 20180116 171319 1-1 118128 33871 1411.291667
ch01 20180116 171319 1-2 70325 33871 1411.291667
ch01 20180116 171319 2-1 76330 33871 1411.291667
ch01 20180116 173702 2-1 108658 33890 1412.083333
ch01 20180116 180034 2-1 207323 33890 1412.083333
ch01 20180116 182407 2-1 124883 33890 1412.083333
ch01 20180116 184738 2-1 160510 33890 1412.083333
ch01 20180116 191111 2-1 157109 33890 1412.083333
ch01 20180116 193443 2-1 175018 33890 1413.250000
ch01 20180116 195814 2-1 167870 33890 1413.250000
ch01 20180116 202147 2-1 169848 33890 1413.250000
ch01 20180116 204518 2-1 184528 33891 1413.291667
ch01 20180116 210851 2-1 158863 33890 1412.083333
ch01 20180116 213223 2-1 148821 33890 1412.083333
ch01 20180116 215555 2-1 160038 33890 1412.083333
ch01 20180116 221927 2-1 159307 33890 1412.083333
ch01 20180116 224259 2-1 165794 33890 1412.083333
ch01 20180116 230631 2-1 156432 33890 1412.083333
ch01 20180116 233003 1-1 182945 33890 1412.083333
ch01 20180116 235335 1-1 111677 33890 1412.083333
ch01 20180117 000000 1-1 122714 24674 1029.250000
ch01 20180117 001707 1-1 137194 33890 1413.250000
ch01 20180117 004039 1-1 137123 33890 1413.250000
ch01 20180117 010410 1-1 147720 33890 1413.250000
ch01 20180117 012743 1-1 135747 33891 1413.291667
ch01 20180117 015115 1-1 122814 33890 1413.291667
ch01 20180117 021446 1-1 129126 33890 1413.250000
ch01 20180117 023819 1-1 155269 33890 1413.250000
ch01 20180117 030151 1-1 132625 33890 1413.250000
ch01 20180117 032522 1-1 128629 33890 1413.250000
ch01 20180117 034855 1-1 143318 33891 1413.291667
ch01 20180117 041226 1-1 160148 33890 1412.083333
ch01 20180117 043559 1-1 143368 33890 1412.083333
ch01 20180117 045931 1-1 148762 33890 1412.083333
ch01 20180117 052303 1-1 151574 33890 1412.083333
ch01 20180117 054635 1-1 137861 33890 1412.083333
ch01 20180117 061007 1-1 136962 33890 1412.083333
ch01 20180117 125011 1-1 123509 33890 1412.083333
ch01 20180117 164531 1-1 119493 33890 1412.083333
ch01 20180117 164531 1-2 113777 33890 1412.083333
ch01 20180117 164531 2-2 143422 33890 1412.083333
